Site Group,Report Name,Link to Dashboard,Time Frames Included,Views Included,Keywords
"M365, Apps",M365 & Apps Page Performance Report,https://www5.an.adobe.com/x/5_rnox4 ,"MTD, Ad Hoc Date Ranges, Dynamic date ranges","Top KPI Volume Metrics, Top KPI Engagement Rates, Area Performance, Link Clicks, Target URLs, Referring URLs, CMM Tracking Codes, E2E Conversion Metrics, Commercial Core SKU Performance, Video Metrics, Previous/Next Page Flow","all up pages report, ad hoc, ongoing performance, flow, video"
Teams,Teams Page Performance Report,https://www5.an.adobe.com/x/5_shuey ,"MTD, Ad Hoc Date Ranges, Dynamic date ranges","Top KPI Volume Metrics, Top KPI Engagement Rates, Area Performance, Link Clicks, Target URLs, Referring URLs, CMM Tracking Codes, E2E Conversion Metrics, Commercial Core SKU Performance, Video Metrics, Previous/Next Page Flow","all up pages report, ad hoc, ongoing performance, flow, video"
w365,W365 Page Performance Report,https://www5.an.adobe.com/x/5_rnoxf ,"MTD, Ad Hoc Date Ranges, Dynamic date ranges","Top KPI Volume Metrics, Top KPI Engagement Rates, Area Performance, Link Clicks, Target URLs, Referring URLs, CMM Tracking Codes, E2E Conversion Metrics, Commercial Core SKU Performance, Video Metrics, Previous/Next Page Flow","all up pages report, ad hoc, ongoing performance, flow, video"
"SCI, security",Security Page Performance Report,https://www5.an.adobe.com/x/5_rw4zm ,"MTD, Ad Hoc Date Ranges, Dynamic date ranges","Top KPI Volume Metrics, Top KPI Engagement Rates, Area Performance, Link Clicks, Target URLs, Referring URLs, CMM Tracking Codes, E2E Conversion Metrics, Commercial Core SKU Performance, Video Metrics, Previous/Next Page Flow","all up pages report, ad hoc, ongoing performance, flow, video"
m365,M365 Site Dashboard,https://www5.an.adobe.com/x/5_rw6xk ,"Ad Hoc Date Ranges, MoM/Yoy","Traffic and Engagement, MoM/YoY % Change Tiles, Performance By Channel, Performance by Tactic, Area Performance, Top Pages","Performance snapshot, Month over month change, Year over year change, site dashboard report"
apps,Apps Site Dashboard,https://www5.an.adobe.com/x/5_shuo6 ,"Ad Hoc Date Ranges, MoM/Yoy","Traffic and Engagement, MoM/YoY % Change Tiles, Performance By Channel, Performance by Tactic, Area Performance, Top Pages","Performance snapshot, Month over month change, Year over year change, site dashboard report"
teams,Teams Site Dashboard,https://www5.an.adobe.com/x/5_shuf1 ,"Ad Hoc Date Ranges, MoM/Yoy","Traffic and Engagement, MoM/YoY % Change Tiles, Performance By Channel, Performance by Tactic, Area Performance, Top Pages","Performance snapshot, Month over month change, Year over year change, site dashboard report"
w365,W365 Site Dashboard,https://www5.an.adobe.com/x/5_utp7q ,"Ad Hoc Date Ranges, MoM/Yoy","Traffic and Engagement, MoM/YoY % Change Tiles, Performance By Channel, Performance by Tactic, Area Performance, Top Pages, Organic Share","Performance snapshot, Month over month change, Year over year change, site dashboard report"
w365,W365 Top Pages,https://www5.an.adobe.com/x/5_rw73y ,Ad Hoc Date Ranges,"Traffic and Engagement,Performance By Month, Organic Share, Top Pages","Performance snapshot, Month over month change, Year over year change, monthly performance, top pages, organic share"
"SCI, security",Security Top Pages,https://www5.an.adobe.com/x/5_rw6xq ,Ad Hoc Date Ranges,"Traffic and Engagement,Performance By Month, Organic Share, Top Pages","Performance snapshot, Month over month change, Year over year change, monthly performance, top pages, organic share"
"m365, teams",M365 & Teams Supplemental Dashboard,https://www5.an.adobe.com/x/5_15s156 ,"MoM, YoY, Comparison, MTD","Traffic by channel, Area Performance, Top Entry Pages, KPI Summary, Engagement rate, Intent rates, completion rates, ","MBR, WBR, Supplemental"
"SCI, security",Security Supplemental Dashboard,https://www5.an.adobe.com/x/5_15s159 ,"MoM, YoY, Comparison, MTD","Traffic by channel, Area Performance, Top Entry Pages, KPI Summary, Engagement rate, Intent rates, completion rates, ","MBR, WBR, Supplemental"
w365,W365 Supplemental Dashboard,https://www5.an.adobe.com/x/5_15s15g ,"MoM, YoY, Comparison, MTD","Traffic by channel, Area Performance, Top Entry Pages, KPI Summary, Engagement rate, Intent rates, completion rates, ","MBR, WBR, Supplemental"
m365,M365 MBR,https://www5.an.adobe.com/x/5_rnox8 ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, MBR "
apps,Apps MBR,https://www5.an.adobe.com/x/5_rnoxe ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, MBR "
teams,Teams MBR,https://www5.an.adobe.com/x/5_rnoxc ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, MBR "
w365,W365 MBR,https://www5.an.adobe.com/x/5_rnoxb ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, buys, trys, connected sales, business sku chooser","traffic patterns, buy and try audience share, MBR "
"SCI, security",Security MBR,https://www5.an.adobe.com/x/5_rnoxd ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, product research clicks, mdb, contact sales, chat, phone, contact actions","commercial buy, commercial try, E2E conversion,contact sales, MBR "
m365,M365 WBR,https://www5.an.adobe.com/x/5_rnox0 ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, WBR "
apps,Apps WBR,https://www5.an.adobe.com/x/5_1k2he4 ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, WBR "
teams,Teams WBR,https://www5.an.adobe.com/x/5_rnowx ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, consumer buy, consumer try, download intent, free trial intent, connected sales, contact sales, smb ","Smb specific, commercial buy, commercial try, E2E conversion, consumer buy, consumer try, download intent, free account intent, connected sales, WBR "
w365,W365 WBR,https://www5.an.adobe.com/x/5_rnows ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, buys, trys, connected sales, business sku chooser","traffic patterns, buy and try audience share, wBR "
"SCI, security",Security WBR,https://www5.an.adobe.com/x/5_q5zmt ,"MoM, YoY, MTD, QoQ, YTD","KPI Snapshot, Traffic and Engagement, Organic Share, Traffic Engagement rates, commerical buy intent, commercial try intent, commercial buy completions, commercial try completion, E2E conversion rates, product research clicks, mdb, contact sales, chat, phone, contact actions","commercial buy, commercial try, E2E conversion,contact sales, WBR "
security,Security Category Dashboard,https://www5.an.adobe.com/x/5_yxrl8 ,"MTD, Ad Hoc Date Ranges, Dynamic date ranges, QTD","traffic and engagement, paid vs non-paid, top kpis, kpi rates, top page, channel, area performance, trial intent, trial signups, top ctas, previous page, form submits, ","security category, ad hoc by page"
security,Security T+ Workspace,https://www5.an.adobe.com/x/5_yxr7s ,"T+1, T+7, t+14, t+21, t+28, t+42, T+56","Top kpis, rates, link clicks by link name, link clicks by target url, channel, ocid tracking, ocid",t+
m365,M365/Teams T+ Workspace,https://www5.an.adobe.com/x/5_yxr8o ,"T+1, T+7, t+14, t+21, t+28, t+42, T+57","Top kpis, rates, link clicks by link name, link clicks by target url, channel, ocid tracking, ocid",t+
